File,Product ID,Product Name,Price Path,Price Value
uploads/homedepot_raw_product_205351353.json,205351353,OPTIX 48 in. x 96 in. x 0.118 (1/8) in. Clear Acrylic Sheet,product.buybox_winner.price,156
uploads/homedepot_raw_product_205351353.json,205351353,OPTIX 48 in. x 96 in. x 0.118 (1/8) in. Clear Acrylic Sheet,product.buybox_winner.fulfillment.scheduled_delivery_info.price,79
uploads/homedepot_raw_product_205351353.json,205351353,OPTIX 48 in. x 96 in. x 0.118 (1/8) in. Clear Acrylic Sheet,product.buybox_winner.fulfillment.ship_to_home_info.price,0
uploads/homedepot_raw_product_100038031.json,100038031,Palruf 26 in. x 8 ft. Corrugated PVC Roof Panel in Clear,product.buybox_winner.price,16.98
uploads/homedepot_raw_product_100038031.json,100038031,Palruf 26 in. x 8 ft. Corrugated PVC Roof Panel in Clear,product.buybox_winner.fulfillment.scheduled_delivery_info.price,35
uploads/homedepot_raw_product_202280933.json,202280933,JM EAGLE 4 in. x 10 ft. PVC D2729 Sewer and Drain Pipe,product.buybox_winner.price,26.31
uploads/homedepot_raw_product_202280933.json,202280933,JM EAGLE 4 in. x 10 ft. PVC D2729 Sewer and Drain Pipe,product.buybox_winner.fulfillment.scheduled_delivery_info.price,79
uploads/homedepot_raw_product_334678321.json,334678321,IPEX 3/4 in. x 2 ft. PVC DWV Schedule 40 Pipe,product.buybox_winner.price,2.79
uploads/homedepot_raw_product_100348472.json,100348472,Charlotte Pipe 3/4 in. x 10 ft. PVC Schedule 40 Pressure Plain-End Pipe,product.buybox_winner.price,4.24
uploads/homedepot_raw_product_100348472.json,100348472,Charlotte Pipe 3/4 in. x 10 ft. PVC Schedule 40 Pressure Plain-End Pipe,product.buybox_winner.fulfillment.scheduled_delivery_info.price,79
uploads/homedepot_raw_product_202666272.json,202666272,Ply Gem 12.75 in x 0.5 in Rectangular Triple 4 in. Economy Solid Vinyl Soffit - Non-Ventilated,product.buybox_winner.price,16.98
uploads/homedepot_raw_product_202666272.json,202666272,Ply Gem 12.75 in x 0.5 in Rectangular Triple 4 in. Economy Solid Vinyl Soffit - Non-Ventilated,product.buybox_winner.fulfillment.scheduled_delivery_info.price,79
uploads/homedepot_raw_product_100135310.json,100135310,Advanced Drainage Systems 4 in. x 10 ft. Triplewall Solid Drain Pipe,product.buybox_winner.price,21.27
uploads/homedepot_raw_product_100135310.json,100135310,Advanced Drainage Systems 4 in. x 10 ft. Triplewall Solid Drain Pipe,product.buybox_winner.fulfillment.scheduled_delivery_info.price,79
uploads/homedepot_raw_product_313793777.json,313793777,Milwaukee M12 12-Volt Lithium-Ion Force Logic Cordless Press Tool Kit (3 Jaws Included) with M12 PVC Pipe Shear and Extra Battery,product.buybox_winner.price,2249
uploads/homedepot_raw_product_313793777.json,313793777,Milwaukee M12 12-Volt Lithium-Ion Force Logic Cordless Press Tool Kit (3 Jaws Included) with M12 PVC Pipe Shear and Extra Battery,product.buybox_winner.fulfillment.ship_to_store_info.price,0
uploads/homedepot_raw_product_313793777.json,313793777,Milwaukee M12 12-Volt Lithium-Ion Force Logic Cordless Press Tool Kit (3 Jaws Included) with M12 PVC Pipe Shear and Extra Battery,product.buybox_winner.fulfillment.ship_to_home_info.price,0
uploads/homedepot_raw_product_205972770.json,205972770,Custom Building Products Prism #11 Snow White 17 lb. Ultimate Performance Grout,product.buybox_winner.price,40.87
uploads/homedepot_raw_product_205972770.json,205972770,Custom Building Products Prism #11 Snow White 17 lb. Ultimate Performance Grout,product.buybox_winner.fulfillment.scheduled_delivery_info.price,2.99
uploads/homedepot_raw_product_205972770.json,205972770,Custom Building Products Prism #11 Snow White 17 lb. Ultimate Performance Grout,product.buybox_winner.fulfillment.ship_to_home_info.price,0
uploads/homedepot_raw_product_205960864.json,205960864,Everbilt 2-1/3 ft. x 50 ft. Green PVC Coated Welded Wire,product.buybox_winner.price,45.84
uploads/homedepot_raw_product_205960864.json,205960864,Everbilt 2-1/3 ft. x 50 ft. Green PVC Coated Welded Wire,product.buybox_winner.fulfillment.scheduled_delivery_info.price,2.99
uploads/homedepot_raw_product_205960864.json,205960864,Everbilt 2-1/3 ft. x 50 ft. Green PVC Coated Welded Wire,product.buybox_winner.fulfillment.ship_to_home_info.price,0
